558,Blackford,Blackford High School,2392 N SR 3 N,Hartford City,47348,47348-9589
556,Greencastle Senior,Greencastle Senior High School,910 E Washington St,Greencastle,46135,46135-1898
553,Wheeler,Wheeler High School,587 W 300 N,Valparaiso,46385,46385-9213
550,Southmont Sr,Southmont Sr High School,6425 US 231 S,Crawfordsville,47933,47933-0000
546,South Vermillion,South Vermillion High School,770 W Wildcat Dr,Clinton,47842,47842-9801
535,Muncie Burris,Muncie Burris Laboratory School  ,2201 W University Ave,Muncie,47306,47306
534,Woodlan,Woodlan Jr/Sr High School,17215 Woodburn Rd,Woodburn,46797,46797-9595
531,Rensselaer Central,Rensselaer Central High School,1106 E Grace St,Rensselaer,47978,47978-3297
531,Southridge,Southridge High School   ,1110 S Main St,Huntingburg,47542,47542-9404
529,Western Boone,Western Boone Jr-Sr High School,1205 N SR 75,Thorntown,46071,46071-9229
529,Mater Dei,Mater Dei High School,1300 Harmony Way,Evansville,47720,47720-6148
528,Bishop Noll,Bishop Noll Institute,1519 Hoffman St,Hammond,46327,46327-1798
527,Monrovia,Monrovia High School,205 S Chestnut St,Monrovia,46157,46157-0468
525,Eastbrook,Eastbrook High School,560 S 900 E,Marion,46953,46953-9629
524,Rochester Community,Rochester Community High School,1 Zebra Ln Box 108,Rochester,46975,46975-0108
524,Tipton,Tipton High School,619 S Main St,Tipton,46072,46072-1042
523,Speedway Senior,Speedway Senior High School,5357 W 25th St,Speedway,46224,46224-3998
511,Manchester,Manchester Jr-Sr High School,1 Squire Dr,N Manchester,46962,46962-1196
511,Oak Hill,Oak Hill Elementary School,425 S Nichols St,Lowell,46356,46356-9349
506,Alexandria-Monroe,Alexandria-Monroe High School,1 Burden Ct,Alexandria,46001,46001-2699
499,Boone Grove,Boone Grove Elementary School,325 W 550 S PO Box 91,Boone Grove,46302,46302-0091
498,North Posey,North Posey Junior High School,5800 High School Rd,Poseyville,47633,47633-0000
497,Bremen Senior,Bremen Senior High School,511 W Grant St,Bremen,46506,46506-1698
492,Andrean,Andrean High School,5959 Broadway,Merrillville,46410,46410-2681
491,Mitchell,Mitchell High School,1000 Bishop Blvd,Mitchell,47446,47446-1098
