Hammond Clark|George Rogers Clark Middle - High School|180432000735|George Rogers Clark Md/HS|41.678225|-87.506808
Hammond Gavit|Donald E Gavit Middle/High School|180432000734|Donald E Gavit Middle/High Schoo|41.576998|-87.487789
Hammond|Hammond High School|180432000736|Hammond High School|41.605718|-87.509562
Hammond Morton|Morton Senior High School|180432000746|Morton Senior High School|41.586739|-87.440178
Hanover Central|Hanover Central Middle School|180435001908|Hanover Central Middle School|41.356487|-87.463382
Harrison (West Lafayette)|Harrison High School|180069000144|North Harrison High School|40.499316|-86.914805
Hauser|Hauser Junior-Senior High School|180357000509|Hauser Jr-Sr High School|39.292713|-85.769977
Hebron|Hebron High School|180075000153|Hebron High School|41.313891|-87.196143
Henryville|Henryville Jr & Senior High School|180937001531|Henryville Jr & Sr High School|38.544046|-85.768995
Heritage Christian|Heritage Christian School|353555|PROTESTANT REFORMED/HERITAGE CHRISTIAN SCHOOLS|39.888127|-86.059706
Heritage Hills|Heritage Hills High School|180801001376|Heritage Hills High School|38.119622|-86.986804
Heritage|Heritage Jr/Senior High School|180285000344|Heritage Jr/Sr High School|40.976602|-84.962024
Herron|Herron High School|180005802315|Herron High School|39.789037|-86.155436
Highland|Highland High School|180456000763|Highland High School|41.546884|-87.458783
Hobart|Hobart High School|180459000774|Hobart High School|41.51785|-87.232311
Homestead|Homestead Senior High School|180003000002|Homestead Senior High School|41.043337|-85.286132
Huntington North|Huntington North High School|180471000786|Huntington North High School|40.892287|-85.510937
Indian Creek|Indian Creek High School|180762001303|Indian Creek Sr High School|39.40683|-86.15823
Indiana Math & Science Academy|Indiana Math & Science Academy|180006702416|Indiana Math & Science Academy|39.822475|-86.236995
Indiana School For The Blind|Indiana School For The Blind|180002302257|Indiana School For The Blind|39.893489|-86.143344
Indiana School for the Deaf|Indiana School For The Deaf|180002402258|Indiana School For The Deaf|39.835117|-86.13585
Indianapolis Arlington|Arlington Community High School|180477000799|Arlington Community High School|39.84331|-86.062271
Indianapolis Arsenal Technical|Arsenal Technical High School|180477000801|Arsenal Technical High School|39.775843|-86.132986
Indianapolis George|George Washington Community|180477001446|George Washington Community HS|39.764722|-86.1993
Indianapolis Howe|Howe Community High School|180012601445|Thomas Carr Howe Comm High Schoo|39.76831|-86.085681
Lighthouse Charter South|Indpls Lighthouse Charter School|180005102165|Indpls Lighthouse Charter School|39.743394|-86.088571
Indianapolis Lutheran|Lutheran High School of Indianapolis|424201|LUTHERAN HIGH SCHOOL OF INDIANAPOLIS|39.6875|-86.062341
Indianapolis Metropolitan|Indianapolis Metropolitan High School|180006402408|Indianapolis Metropolitan High S|39.773776|-86.191604
Indianapolis Northwest|Northwest Community High School|180477000878|Northwest Community High School|39.813937|-86.258433
Indianapolis Scecina Memorial|Scecina Memorial High School|421244|SCECINA MEMORIAL HIGH SCHOOL|39.78723|-86.085331
Indianapolis Shortridge|Shortridge High School|180477002238|Shortridge High School|39.8181|-86.155604
International School of Indiana|International School of Indiana High School|180345000481|Plaza Park International Prep Ac|39.833776|-86.185438
Irvington Preparatory|Irvington Preparatory Academy|180001401756|Irvington Community School|39.769302|-86.052044
